libexpat1	amd64	2.4.7-1ubuntu0.7
libexpat1-dev	amd64	2.4.7-1ubuntu0.7
libext2fs2	amd64	1.46.5-2ubuntu1.2
libfabric1	amd64	1.11.0-3
libfcl-dev	amd64	0.7.0-3
libfcl0.7	amd64	0.7.0-3
libffi-dev	amd64	3.4.2-4
libffi8	amd64	3.4.2-4
libfido2-1	amd64	1.10.0-1
libflac8	amd64	1.3.3-2ubuntu0.2
libflann-dev	amd64	1.9.1+dfsg-11
libflann1.9	amd64	1.9.1+dfsg-11
libflite1	amd64	2.2-3
libfmt-dev	amd64	8.1.1+ds1-2
libfmt8	amd64	8.1.1+ds1-2
libfontconfig-dev	amd64	2.13.1-4.2ubuntu5
libfontconfig1	amd64	2.13.1-4.2ubuntu5
libfontconfig1-dev	amd64	2.13.1-4.2ubuntu5
libfreeimage-dev	amd64	3.18.0+ds2-6ubuntu5.1
libfreeimage3	amd64	3.18.0+ds2-6ubuntu5.1
libfreetype-dev	amd64	2.11.1+dfsg-1ubuntu0.3
libfreetype6	amd64	2.11.1+dfsg-1ubuntu0.3
libfreetype6-dev	amd64	2.11.1+dfsg-1ubuntu0.3
libfreexl-dev	amd64	1.0.6-1
libfreexl1	amd64	1.0.6-1
libfribidi0	amd64	1.0.8-2ubuntu3.1
libfyba-dev	amd64	4.1.1-7
libfyba0	amd64	4.1.1-7
libgazebo-dev	amd64	11.10.2+dfsg-1
libgazebo11	amd64	11.10.2+dfsg-1
libgbm-dev	amd64	23.2.1-1ubuntu3.1~22.04.4
libgbm1	amd64	23.2.1-1ubuntu3.1~22.04.4
libgcc-11-dev	amd64	11.4.0-1ubuntu1~22.04.3
libgcc-s1	amd64	12.3.0-1ubuntu1~22.04.3
libgcrypt20	amd64	1.9.4-3ubuntu3.2
libgd3	amd64	2.3.0-2ubuntu2.3
libgdal-dev	amd64	3.4.1+dfsg-1build4
libgdal30	amd64	3.4.1+dfsg-1build4
libgdbm-compat4	amd64	1.23-1
libgdbm6	amd64	1.23-1
libgdcm-dev	amd64	3.0.10-1build2
libgdcm3.0	amd64	3.0.10-1build2
libgdk-pixbuf-2.0-0	amd64	2.42.8+dfsg-1ubuntu0.5
libgdk-pixbuf2.0-common	all	2.42.8+dfsg-1ubuntu0.5
libgeos-c1v5	amd64	3.10.2-1
libgeos-dev	amd64	3.10.2-1
libgeos3.10.2	amd64	3.10.2-1
libgeotiff-dev	amd64	1.7.0-2build1
libgeotiff5	amd64	1.7.0-2build1
libgfortran-11-dev	amd64	11.4.0-1ubuntu1~22.04.3
libgfortran5	amd64	12.3.0-1ubuntu1~22.04.3
libgif-dev	amd64	5.1.9-2ubuntu0.3
libgif7	amd64	5.1.9-2ubuntu0.3
libgirepository-1.0-1	amd64	1.72.0-1
libgl-dev	amd64	1.4.0-1
libgl1	amd64	1.4.0-1
libgl1-mesa-dev	amd64	23.2.1-1ubuntu3.1~22.04.4
libgl1-mesa-dri	amd64	23.2.1-1ubuntu3.1~22.04.4
libgl2ps-dev	amd64	1.4.2+dfsg1-2
libgl2ps1.4	amd64	1.4.2+dfsg1-2
libglapi-mesa	amd64	23.2.1-1ubuntu3.1~22.04.4
libgles-dev	amd64	1.4.0-1
libgles1	amd64	1.4.0-1
libgles2	amd64	1.4.0-1
libglew-dev	amd64	2.2.0-4
libglew2.2	amd64	2.2.0-4
libglib2.0-0	amd64	2.72.4-0ubuntu2.9
libglib2.0-bin	amd64	2.72.4-0ubuntu2.9
libglib2.0-data	all	2.72.4-0ubuntu2.9
libglib2.0-dev	amd64	2.72.4-0ubuntu2.9
libglib2.0-dev-bin	amd64	2.72.4-0ubuntu2.9
libglu1-mesa	amd64	9.0.2-1
libglu1-mesa-dev	amd64	9.0.2-1
libglvnd-core-dev	amd64	1.4.0-1
libglvnd-dev	amd64	1.4.0-1
libglvnd0	amd64	1.4.0-1
libglx-dev	amd64	1.4.0-1
libglx-mesa0	amd64	23.2.1-1ubuntu3.1~22.04.4
libglx0	amd64	1.4.0-1
libgme0	amd64	0.6.3-2
libgmp10	amd64	2:6.2.1+dfsg-3ubuntu1
libgnutls30	amd64	3.7.3-4ubuntu1.9
libgomp1	amd64	12.3.0-1ubuntu1~22.04.3
libgpg-error0	amd64	1.43-3
libgphoto2-6	amd64	2.5.27-1ubuntu0.1
libgphoto2-dev	amd64	2.5.27-1ubuntu0.1
libgphoto2-port12	amd64	2.5.27-1ubuntu0.1
libgraphite2-3	amd64	1.3.14-1ubuntu0.1
libgsm1	amd64	1.0.19-1
libgssapi-krb5-2	amd64	1.19.2-2ubuntu0.8
libgssrpc4	amd64	1.19.2-2ubuntu0.8
libgstreamer-plugins-base1.0-0	amd64	1.20.1-1ubuntu0.6
libgstreamer1.0-0	amd64	1.20.3-0ubuntu1.1
libgtest-dev	amd64	1.11.0-3
libgtk-3-0	amd64	3.24.33-1ubuntu2.2
libgtk-3-common	all	3.24.33-1ubuntu2.2
libgts-0.7-5	amd64	0.7.6+darcs121130-5
libgts-dev	amd64	0.7.6+darcs121130-5
libgudev-1.0-0	amd64	1:237-2build1
libgvc6	amd64	2.42.2-6ubuntu0.1
libgvpr2	amd64	2.42.2-6ubuntu0.1
libharfbuzz0b	amd64	2.7.4-1ubuntu3.2
libhdf4-0-alt	amd64	4.2.15-4
libhdf4-alt-dev	amd64	4.2.15-4
libhdf5-103-1	amd64	1.10.7+repack-4ubuntu2
libhdf5-cpp-103-1	amd64	1.10.7+repack-4ubuntu2
libhdf5-dev	amd64	1.10.7+repack-4ubuntu2
libhdf5-fortran-102	amd64	1.10.7+repack-4ubuntu2
libhdf5-hl-100	amd64	1.10.7+repack-4ubuntu2
libhdf5-hl-cpp-100	amd64	1.10.7+repack-4ubuntu2
libhdf5-hl-fortran-100	amd64	1.10.7+repack-4ubuntu2
libhdf5-mpi-dev	amd64	1.10.7+repack-4ubuntu2
libhdf5-openmpi-103-1	amd64	1.10.7+repack-4ubuntu2
libhdf5-openmpi-cpp-103-1	amd64	1.10.7+repack-4ubuntu2
libhdf5-openmpi-dev	amd64	1.10.7+repack-4ubuntu2
libhdf5-openmpi-fortran-102	amd64	1.10.7+repack-4ubuntu2
libhdf5-openmpi-hl-100	amd64	1.10.7+repack-4ubuntu2
libhdf5-openmpi-hl-cpp-100	amd64	1.10.7+repack-4ubuntu2
libhdf5-openmpi-hl-fortran-100	amd64	1.10.7+repack-4ubuntu2
libheif-dev	amd64	1.12.0-2build1
libheif1	amd64	1.12.0-2build1
libhogweed6	amd64	3.7.3-1build2
libhwloc-dev	amd64	2.7.0-2ubuntu1
libhwloc-plugins	amd64	2.7.0-2ubuntu1
libhwloc15	amd64	2.7.0-2ubuntu1
libhyphen0	amd64	2.8.8-7build2
libibus-1.0-5	amd64	1.5.26-4
libibus-1.0-dev	amd64	1.5.26-4
libibverbs-dev	amd64	39.0-1
libibverbs1	amd64	39.0-1
libice-dev	amd64	2:1.0.10-1build2
libice6	amd64	2:1.0.10-1build2
libicu-dev	amd64	70.1-2
libicu70	amd64	70.1-2
libidn2-0	amd64	2.3.2-2build1
libiec61883-0	amd64	1.2.0-4build3
libignition-cmake2-dev	amd64	2.19.0-1~jammy
libignition-common3-3	amd64	3.14.0+dfsg-5
libignition-common3-av-dev	amd64	3.14.0+dfsg-5
libignition-common3-av3	amd64	3.14.0+dfsg-5
libignition-common3-core-dev	amd64	3.14.0+dfsg-5
libignition-common3-dev	amd64	3.14.0+dfsg-5
libignition-common3-events3	amd64	3.14.0+dfsg-5
libignition-common3-graphics-dev	amd64	3.14.0+dfsg-5
libignition-common3-graphics3	amd64	3.14.0+dfsg-5
libignition-common3-profiler3	amd64	3.14.0+dfsg-5
libignition-fuel-tools4-4	amd64	4.4.0+ds-3build1
libignition-fuel-tools4-dev	amd64	4.4.0+ds-3build1
libignition-math6	amd64	6.16.0-1~jammy
libignition-math6-dev	amd64	6.16.0-1~jammy
libignition-msgs5-5	amd64	5.8.1+ds-2
libignition-msgs5-dev	amd64	5.8.1+ds-2
libignition-transport8-8	amd64	8.2.1+ds-2
libignition-transport8-dev	amd64	8.2.1+ds-2
libilmbase-dev	amd64	2.5.7-2
libilmbase25	amd64	2.5.7-2
libimagequant0	amd64	2.17.0-1
libinput-bin	amd64	1.20.0-1ubuntu0.4
libinput10	amd64	1.20.0-1ubuntu0.4
libip4tc2	amd64	1.8.7-1ubuntu5.2
libisl23	amd64	0.24-2build1
libitm1	amd64	12.3.0-1ubuntu1~22.04.3
libjack-jackd2-0	amd64	1.9.20~dfsg-1
libjbig-dev	amd64	2.1-3.1ubuntu0.22.04.1
libjbig0	amd64	2.1-3.1ubuntu0.22.04.1
libjpeg-dev	amd64	8c-2ubuntu10
libjpeg-turbo8	amd64	2.1.2-0ubuntu1
libjpeg-turbo8-dev	amd64	2.1.2-0ubuntu1
libjpeg8	amd64	8c-2ubuntu10
libjpeg8-dev	amd64	8c-2ubuntu10
libjs-jquery	all	3.6.0+dfsg+~3.5.13-1
libjs-jquery-ui	all	1.13.1+dfsg-1
libjs-sphinxdoc	all	4.3.2-1
libjs-underscore	all	1.13.2~dfsg-2
libjson-c-dev	amd64	0.15-3~ubuntu1.22.04.2
libjson-c5	amd64	0.15-3~ubuntu1.22.04.2
libjsoncpp-dev	amd64	1.9.5-3
libjsoncpp25	amd64	1.9.5-3
libjxr0	amd64	1.2~git20170615.f752187-5
libk5crypto3	amd64	1.19.2-2ubuntu0.8
libkadm5clnt-mit12	amd64	1.19.2-2ubuntu0.8
